% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
33273	1	1	1	2	0	28	6594	0	1	1	0
33273	1	1	1	2	1	28	6594	0	1	1	0
33274	1	1	1	2	0	28	6594	0	1	1	0
33274	1	1	1	2	1	28	6594	0	1	1	0
33275	1	1	1	2	0	28	6594	0	1	1	0
33275	1	1	1	2	1	28	6594	0	1	1	0
33276	1	1	1	2	0	28	6594	0	1	1	0
33276	1	1	1	2	1	28	6594	0	1	1	0
33277	1	1	1	2	0	28	6594	0	1	1	0
33277	1	1	1	2	1	28	6594	0	1	1	0
33278	1	1	1	2	0	28	6594	0	1	1	0
33278	1	1	1	2	1	28	6594	0	1	1	0
33279	1	1	1	2	0	28	6594	0	1	1	0
33279	1	1	1	2	1	28	6594	0	1	1	0
33280	1	1	1	2	0	28	6594	0	1	1	0
33280	1	1	1	2	1	28	6594	0	1	1	0
33281	1	1	1	2	0	28	6594	0	1	1	0
33281	1	1	1	2	1	28	6594	0	1	1	0
33282	1	1	1	2	0	28	6594	0	1	1	0
33282	1	1	1	2	1	28	6594	0	1	1	0
33283	1	1	1	2	0	28	6594	0	1	1	0
33283	1	1	1	2	1	28	6594	0	1	1	0
33284	1	1	1	2	0	28	6594	0	1	1	0
33284	1	1	1	2	1	28	6594	0	1	1	0
33285	1	1	1	2	0	28	6594	0	1	1	0
33285	1	1	1	2	1	28	6594	0	1	1	0
33286	1	1	1	2	0	28	6594	0	1	1	0
33286	1	1	1	2	1	28	6594	0	1	1	0
33287	1	1	1	2	0	28	6594	0	1	1	0
33287	1	1	1	2	1	28	6594	0	1	1	0
33288	1	1	1	2	0	28	6594	0	1	1	0
33288	1	1	1	2	1	28	6594	0	1	1	0
33289	1	1	1	2	0	28	6594	0	1	1	0
33289	1	1	1	2	1	28	6594	0	1	1	0
33290	1	1	1	2	0	28	6594	0	1	1	0
33290	1	1	1	2	1	28	6594	0	1	1	0
33291	1	1	1	2	0	28	6594	0	1	1	0
33291	1	1	1	2	1	28	6594	0	1	1	0
33292	1	1	1	2	0	28	6594	0	1	1	0
33292	1	1	1	2	1	28	6594	0	1	1	0
33293	1	1	1	2	0	28	6594	0	1	1	0
33293	1	1	1	2	1	28	6594	0	1	1	0
33294	1	1	1	2	0	28	6594	0	1	1	0
33294	1	1	1	2	1	28	6594	0	1	1	0
33295	1	1	1	2	0	28	6594	0	1	1	0
33295	1	1	1	2	1	28	6594	0	1	1	0
33296	1	1	1	2	0	28	6594	0	1	1	0
33296	1	1	1	2	1	28	6594	0	1	1	0
33297	1	1	1	2	0	28	6594	0	1	1	0
33297	1	1	1	2	1	28	6594	0	1	1	0
33298	1	1	1	2	0	28	6594	0	1	1	0
33298	1	1	1	2	1	28	6594	0	1	1	0
33299	1	1	1	2	0	28	6594	0	1	1	0
33299	1	1	1	2	1	28	6594	0	1	1	0
33300	1	1	1	2	0	28	6594	0	1	1	0
33300	1	1	1	2	1	28	6594	0	1	1	0
33301	1	1	1	2	0	28	6594	0	1	1	0
33301	1	1	1	2	1	28	6594	0	1	1	0
33302	1	1	1	2	0	28	6594	0	1	1	0
33302	1	1	1	2	1	28	6594	0	1	1	0
33303	1	1	1	2	0	28	6594	0	1	1	0
33303	1	1	1	2	1	28	6594	0	1	1	0
33304	1	1	1	2	0	28	6594	0	1	1	0
33304	1	1	1	2	1	28	6594	0	1	1	0
33305	1	1	1	2	0	28	6594	0	1	1	0
33305	1	1	1	2	1	28	6594	0	1	1	0
33306	1	1	1	2	0	28	6594	0	1	1	0
33306	1	1	1	2	1	28	6594	0	1	1	0
33307	1	1	1	2	0	28	6594	0	1	1	0
33307	1	1	1	2	1	28	6594	0	1	1	0
33308	1	1	1	2	0	28	6594	0	1	1	0
33308	1	1	1	2	1	28	6594	0	1	1	0
33309	1	1	1	2	0	28	6594	0	1	1	0
33309	1	1	1	2	1	28	6594	0	1	1	0
33310	1	1	1	2	0	28	6594	0	1	1	0
33310	1	1	1	2	1	28	6594	0	1	1	0
33311	1	1	1	2	0	28	6594	0	1	1	0
